tanggal,provinsi,komoditas,harga
2021-01-01,Banten,Cabai,42236.0
2021-01-02,Banten,Cabai,42301.0
2021-01-03,Banten,Cabai,42740.0
2021-01-04,Banten,Cabai,43594.0
2021-01-05,Banten,Cabai,43614.0
2021-01-06,Banten,Cabai,43633.0
2021-01-07,Banten,Cabai,44514.0
2021-01-08,Banten,Cabai,45009.0
2021-01-09,Banten,Cabai,44915.0
2021-01-10,Banten,Cabai,45303.0
2021-01-11,Banten,Cabai,45212.0
2021-01-12,Banten,Cabai,45120.0
2021-01-13,Banten,Cabai,45363.0
2021-01-14,Banten,Cabai,44582.0
2021-01-15,Banten,Cabai,43891.0
2021-01-16,Banten,Cabai,43751.0
2021-01-17,Banten,Cabai,43396.0
2021-01-18,Banten,Cabai,43671.0
2021-01-19,Banten,Cabai,43365.0
2021-01-20,Banten,Cabai,42819.0
2021-01-21,Banten,Cabai,43639.0
2021-01-22,Banten,Cabai,43654.0
2021-01-23,Banten,Cabai,43809.0
2021-01-24,Banten,Cabai,43254.0
2021-01-25,Banten,Cabai,43116.0
2021-01-26,Banten,Cabai,43288.0
2021-01-27,Banten,Cabai,42860.0
2021-01-28,Banten,Cabai,43156.0
2021-01-29,Banten,Cabai,42988.0
2021-01-30,Banten,Cabai,42965.0
2021-01-31,Banten,Cabai,42794.0
2021-02-01,Banten,Cabai,43788.0
2021-02-02,Banten,Cabai,43894.0
2021-02-03,Banten,Cabai,43503.0
2021-02-04,Banten,Cabai,44004.0
2021-02-05,Banten,Cabai,43533.0
2021-02-06,Banten,Cabai,43740.0
2021-02-07,Banten,Cabai,42915.0
2021-02-08,Banten,Cabai,42389.0
2021-02-09,Banten,Cabai,42587.0
2021-02-10,Banten,Cabai,43040.0
2021-02-11,Banten,Cabai,43222.0
2021-02-12,Banten,Cabai,43267.0
2021-02-13,Banten,Cabai,43222.0
2021-02-14,Banten,Cabai,42616.0
2021-02-15,Banten,Cabai,42369.0
2021-02-16,Banten,Cabai,42244.0
2021-02-17,Banten,Cabai,42838.0
2021-02-18,Banten,Cabai,43091.0
2021-02-19,Banten,Cabai,42342.0
2021-02-20,Banten,Cabai,42583.0
2021-02-21,Banten,Cabai,42486.0
2021-02-22,Banten,Cabai,42248.0
2021-02-23,Banten,Cabai,42620.0
2021-02-24,Banten,Cabai,43190.0
2021-02-25,Banten,Cabai,43711.0
2021-02-26,Banten,Cabai,43389.0
2021-02-27,Banten,Cabai,43317.0
2021-02-28,Banten,Cabai,43547.0
2021-03-01,Banten,Cabai,44081.0
2021-03-02,Banten,Cabai,43923.0
2021-03-03,Banten,Cabai,43902.0
2021-03-04,Banten,Cabai,43442.0
2021-03-05,Banten,Cabai,42937.0
2021-03-06,Banten,Cabai,43384.0
2021-03-07,Banten,Cabai,44088.0
2021-03-08,Banten,Cabai,44111.0
2021-03-09,Banten,Cabai,44643.0
2021-03-10,Banten,Cabai,44868.0
2021-03-11,Banten,Cabai,44613.0
2021-03-12,Banten,Cabai,44834.0
2021-03-13,Banten,Cabai,45612.0
2021-03-14,Banten,Cabai,45640.0
2021-03-15,Banten,Cabai,46426.0
2021-03-16,Banten,Cabai,45223.0
2021-03-17,Banten,Cabai,45652.0
2021-03-18,Banten,Cabai,45730.0
2021-03-19,Banten,Cabai,45622.0
2021-03-20,Banten,Cabai,45698.0
2021-03-21,Banten,Cabai,44784.0
2021-03-22,Banten,Cabai,44708.0
2021-03-23,Banten,Cabai,44904.0
2021-03-24,Banten,Cabai,45629.0
2021-03-25,Banten,Cabai,45405.0
2021-03-26,Banten,Cabai,45040.0
2021-03-27,Banten,Cabai,44819.0
2021-03-28,Banten,Cabai,45268.0
2021-03-29,Banten,Cabai,45437.0
2021-03-30,Banten,Cabai,45196.0
2021-03-31,Banten,Cabai,45448.0
2021-04-01,Banten,Cabai,45500.0
2021-04-02,Banten,Cabai,45964.0
2021-04-03,Banten,Cabai,45632.0
2021-04-04,Banten,Cabai,45476.0
2021-04-05,Banten,Cabai,45287.0
2021-04-06,Banten,Cabai,44587.0
2021-04-07,Banten,Cabai,44720.0
2021-04-08,Banten,Cabai,44834.0
2021-04-09,Banten,Cabai,44825.0
2021-04-10,Banten,Cabai,44700.0
2021-04-11,Banten,Cabai,44011.0
2021-04-12,Banten,Cabai,43793.0
2021-04-13,Banten,Cabai,43610.0
2021-04-14,Banten,Cabai,43206.0
2021-04-15,Banten,Cabai,43105.0
2021-04-16,Banten,Cabai,43270.0
2021-04-17,Banten,Cabai,44136.0
2021-04-18,Banten,Cabai,44188.0
2021-04-19,Banten,Cabai,44277.0
2021-04-20,Banten,Cabai,44206.0
2021-04-21,Banten,Cabai,43257.0
2021-04-22,Banten,Cabai,43204.0
2021-04-23,Banten,Cabai,43191.0
2021-04-24,Banten,Cabai,44317.0
2021-04-25,Banten,Cabai,44180.0
2021-04-26,Banten,Cabai,44275.0
2021-04-27,Banten,Cabai,44208.0
2021-04-28,Banten,Cabai,43601.0
2021-04-29,Banten,Cabai,44090.0
2021-04-30,Banten,Cabai,44391.0
2021-05-01,Banten,Cabai,44708.0
2021-05-02,Banten,Cabai,44216.0
2021-05-03,Banten,Cabai,44820.0
2021-05-04,Banten,Cabai,44091.0
2021-05-05,Banten,Cabai,44304.0
2021-05-06,Banten,Cabai,45276.0
2021-05-07,Banten,Cabai,44736.0
2021-05-08,Banten,Cabai,44396.0
2021-05-09,Banten,Cabai,44370.0
2021-05-10,Banten,Cabai,44056.0
2021-05-11,Banten,Cabai,43242.0
2021-05-12,Banten,Cabai,43196.0
2021-05-13,Banten,Cabai,42612.0
2021-05-14,Banten,Cabai,42755.0
2021-05-15,Banten,Cabai,42234.0
2021-05-16,Banten,Cabai,42885.0
2021-05-17,Banten,Cabai,42426.0
2021-05-18,Banten,Cabai,42185.0
2021-05-19,Banten,Cabai,42481.0
2021-05-20,Banten,Cabai,41805.0
2021-05-21,Banten,Cabai,41820.0
2021-05-22,Banten,Cabai,42346.0
2021-05-23,Banten,Cabai,41487.0
2021-05-24,Banten,Cabai,41477.0
2021-05-25,Banten,Cabai,41501.0
2021-05-26,Banten,Cabai,41772.0
2021-05-27,Banten,Cabai,41083.0
2021-05-28,Banten,Cabai,40353.0
2021-05-29,Banten,Cabai,40497.0
2021-05-30,Banten,Cabai,40533.0
2021-05-31,Banten,Cabai,40545.0
2021-06-01,Banten,Cabai,40602.0
